key,unicode value
herb,\U0001F33F
grapes,\U0001F347
watermelon,\U0001F349
tangerine,\U0001F34A
lemon,\U0001F34B
banana,\U0001F34C
pineapple,\U0001F34D
red apple,\U0001F34E
green apple,\U0001F34F
pear,\U0001F350
peach,\U0001F351
cherries,\U0001F352
strawberry,\U0001F353
kiwi fruit,\U0001F95D
tomato,\U0001F345
avocado,\U0001F951
eggplant,\U0001F346
potato,\U0001F954
carrot,\U0001F955
ear of corn,\U0001F33D
hot pepper,\U0001F336
mushroom,\U0001F344
peanuts,\U0001F95C
chestnut,\U0001F330
bread,\U0001F35E
croissant,\U0001F950
baguette bread,\U0001F956
pancakes,\U0001F95E
cheese wedge,\U0001F9C0
meat on bone,\U0001F356
poultry leg,\U0001F357
bacon,\U0001F953
hamburger,\U0001F354
french fries,\U0001F35F
pizza,\U0001F355
hot dog,\U0001F32D
taco,\U0001F32E
burrito,\U0001F32F
stuffed flatbread,\U0001F959
egg,\U0001F95A
cooking,\U0001F373
shallow pan of food,\U0001F958
pot of food,\U0001F372
green salad,\U0001F957
popcorn,\U0001F37F
bento box,\U0001F371
rice cracker,\U0001F358
rice ball,\U0001F359
cooked rice,\U0001F35A
curry rice,\U0001F35B
steaming bowl,\U0001F35C
spaghetti,\U0001F35D
roasted sweet potato,\U0001F360
oden,\U0001F362
sushi,\U0001F363
fried shrimp,\U0001F364
fish cake with swirl,\U0001F365
dango,\U0001F361'
shaved ice,\U0001F367
ice cream,\U0001F368
doughnut,\U0001F369
cookie,\U0001F36A
birthday cake,\U0001F382
shortcake,\U0001F370
chocolate bar,\U0001F36B
candy,\U0001F36C
lollipop,\U0001F36D
custard,\U0001F36E
honey pot,\U0001F36F
baby bottle,\U0001F37C
glass of milk,\U0001F95B
